ocu_periodo;ocu_indicador;ocu_valor
202205;OCUPA_HOTELERA;72.5
202204;OCUPA_HOTELERA;76.9
202204;OCUPA_HOTELERA;76.9
202203;OCUPA_HOTELERA;77.6
202203;OCUPA_HOTELERA;77.6
202202;OCUPA_HOTELERA;72.7
202202;OCUPA_HOTELERA;72.7
202202;OCUPA_HOTELERA;72.7
202201;OCUPA_HOTELERA;72.1
202201;OCUPA_HOTELERA;72.1
202201;OCUPA_HOTELERA;72.1
202112;OCUPA_HOTELERA;76.3
202112;OCUPA_HOTELERA;76.3
202112;OCUPA_HOTELERA;76.3
202111;OCUPA_HOTELERA;75.9
202111;OCUPA_HOTELERA;75.9
202111;OCUPA_HOTELERA;75.9
202110;OCUPA_HOTELERA;67.3
202110;OCUPA_HOTELERA;67.3
202110;OCUPA_HOTELERA;67.3
202109;OCUPA_HOTELERA;65.2
202109;OCUPA_HOTELERA;65.2
202109;OCUPA_HOTELERA;65.2
202108;OCUPA_HOTELERA;60.7
202108;OCUPA_HOTELERA;60.7
202108;OCUPA_HOTELERA;60.7
202107;OCUPA_HOTELERA;54.9
202107;OCUPA_HOTELERA;54.9
202106;OCUPA_HOTELERA;39.4
202105;OCUPA_HOTELERA;27.8
202104;OCUPA_HOTELERA;30.4
202103;OCUPA_HOTELERA;42.3
202102;OCUPA_HOTELERA;36.6
202101;OCUPA_HOTELERA;30.0
202012;OCUPA_HOTELERA;40.5
202011;OCUPA_HOTELERA;32.5
202010;OCUPA_HOTELERA;26.88
202009;OCUPA_HOTELERA;12.62
202008;OCUPA_HOTELERA;10.31
202007;OCUPA_HOTELERA;8.32
202006;OCUPA_HOTELERA;4.6
202005;OCUPA_HOTELERA;3.24
202004;OCUPA_HOTELERA;3.69
202003;OCUPA_HOTELERA;35.8
202002;OCUPA_HOTELERA;71.2
202001;OCUPA_HOTELERA;65.3
201912;OCUPA_HOTELERA;68.8
201911;OCUPA_HOTELERA;70.34
201910;OCUPA_HOTELERA;65.81
201909;OCUPA_HOTELERA;68.73
201908;OCUPA_HOTELERA;72.67
201907;OCUPA_HOTELERA;66.7
201906;OCUPA_HOTELERA;608.0
201905;OCUPA_HOTELERA;60.49
201904;OCUPA_HOTELERA;57.54
