date,total_sacrificios
2017-01,1669
2017-02,1589
2017-03,1882
2017-04,1716
2017-05,2092
2017-06,2114
2017-07,2109
2017-08,2126
2017-09,2257
2017-10,2176
2017-11,672
2017-12,1712
2018-01,1870
2018-02,1942
2018-03,1984
2018-04,2072
2018-05,2561
2018-06,2449
2018-07,2401
2018-08,2475
2018-09,2430
2018-10,2454
2018-11,2395
2018-12,2468
2019-01,2138
2019-02,2165
2019-03,2387
2019-04,2158
2019-05,2669
2019-06,2611
2019-07,2584
2019-08,2648
2019-09,2350
2019-10,2464
2019-11,2374
2019-12,2417
2020-02,2266
2020-03,2385
2020-04,1597
2020-05,1968
2020-06,2485
2020-07,2345
2020-08,2517
2020-09,2771
2020-10,2951
2020-11,2587
2020-12,3117
2021-01,2087
2021-02,2378
2021-03,2794
2021-04,1960
2021-05,1801
2021-06,2017
2021-07,2244
2021-08,2348
2021-09,2325
2021-10,2470
2021-11,2347
2021-12,2489
2022-01,2037
2022-02,1955
2022-03,2248
2022-04,1944
2022-05,2231
2022-06,2305
2022-07,2252
2022-08,2223
2022-09,2321
