date,value
1901-01-01,24.84
1902-01-01,24.54
1903-01-01,24.54
1904-01-01,24.45
1905-01-01,24.43
1906-01-01,24.45
1907-01-01,24.72
1908-01-01,24.54
1909-01-01,24.52
1910-01-01,24.35
1911-01-01,24.72
1912-01-01,24.49
1913-01-01,24.43
1914-01-01,24.43
1915-01-01,24.61
1916-01-01,24.68
1917-01-01,24.34
1918-01-01,24.6
1919-01-01,24.35
1920-01-01,24.35
1921-01-01,24.6
1922-01-01,24.48
1923-01-01,24.06
1924-01-01,25.14
1925-01-01,23.94
1926-01-01,25.01
1927-01-01,24.32
1928-01-01,24.54
1929-01-01,24.71
1930-01-01,24.46
1931-01-01,25.17
1932-01-01,24.61
1933-01-01,24.85
1934-01-01,24.33
1935-01-01,24.69
1936-01-01,24.71
1937-01-01,24.45
1938-01-01,24.89
1939-01-01,24.37
1940-01-01,24.33
1941-01-01,24.79
1942-01-01,24.91
1943-01-01,24.71
1944-01-01,24.41
1945-01-01,24.46
1946-01-01,24.58
1947-01-01,24.96
1948-01-01,24.95
1949-01-01,24.68
1950-01-01,23.96
1951-01-01,23.91
1952-01-01,24.71
1953-01-01,24.58
1954-01-01,24.52
1955-01-01,24.4
1956-01-01,23.75
1957-01-01,24.31
1958-01-01,25.57
1959-01-01,25.38
1960-01-01,25.06
1961-01-01,24.86
1962-01-01,24.78
1963-01-01,24.95
1964-01-01,25.39
1965-01-01,24.27
1966-01-01,25.55
1967-01-01,24.33
1968-01-01,24.33
1969-01-01,24.68
1970-01-01,24.94
1971-01-01,24.18
1972-01-01,24.21
1973-01-01,25.64
1974-01-01,23.91
1975-01-01,24.18
1976-01-01,23.87
1977-01-01,25.03
1978-01-01,24.9
1979-01-01,24.8
1980-01-01,25.0
1981-01-01,24.93
1982-01-01,24.73
1983-01-01,25.94
1984-01-01,24.24
1985-01-01,24.43
1986-01-01,24.72
1987-01-01,24.98
1988-01-01,25.1
1989-01-01,24.32
1990-01-01,24.68
1991-01-01,24.83
1992-01-01,25.31
1993-01-01,24.92
1994-01-01,24.8
1995-01-01,25.25
1996-01-01,24.73
1997-01-01,24.71
1998-01-01,26.16
1999-01-01,24.79
2000-01-01,24.37
2001-01-01,24.59
2002-01-01,25.27
2003-01-01,25.66
2004-01-01,25.08
2005-01-01,25.07
2006-01-01,24.83
2007-01-01,25.35
2008-01-01,24.73
2009-01-01,24.61
2010-01-01,26.01
2011-01-01,24.99
2012-01-01,24.92
2013-01-01,25.62
2014-01-01,25.36
2015-01-01,25.47
2016-01-01,26.47
2017-01-01,24.86
2018-01-01,24.95
2019-01-01,25.49
2020-01-01,25.8
2021-01-01,25.07
1901-02-01,25.01
1902-02-01,24.83
1903-02-01,25.0
1904-02-01,25.03
1905-02-01,24.69
1906-02-01,24.69
1907-02-01,25.03
1908-02-01,24.71
1909-02-01,25.03
1910-02-01,25.03
1911-02-01,24.73
1912-02-01,24.79
1913-02-01,25.03
1914-02-01,24.73
1915-02-01,24.89
1916-02-01,25.03
1917-02-01,24.33
1918-02-01,24.71
1919-02-01,24.77
1920-02-01,24.73
1921-02-01,24.89
1922-02-01,24.57
1923-02-01,24.61
1924-02-01,25.08
1925-02-01,24.09
1926-02-01,25.42
1927-02-01,24.48
1928-02-01,25.1
1929-02-01,25.16
1930-02-01,24.94
1931-02-01,25.39
1932-02-01,25.06
1933-02-01,24.69
1934-02-01,24.22
1935-02-01,24.6
1936-02-01,25.21
1937-02-01,24.81
1938-02-01,25.11
1939-02-01,24.33
1940-02-01,25.19
1941-02-01,25.32
1942-02-01,24.98
1943-02-01,24.48
1944-02-01,24.33
1945-02-01,24.61
1946-02-01,24.5
1947-02-01,25.4
1948-02-01,25.08
1949-02-01,24.81
1950-02-01,24.09
1951-02-01,23.99
1952-02-01,25.13
1953-02-01,24.74
1954-02-01,24.81
1955-02-01,24.76
1956-02-01,24.38
1957-02-01,24.95
1958-02-01,25.94
1959-02-01,25.3
1960-02-01,25.45
1961-02-01,25.06
1962-02-01,25.19
1963-02-01,24.95
1964-02-01,25.97
1965-02-01,24.88
1966-02-01,25.65
1967-02-01,24.65
1968-02-01,24.78
1969-02-01,25.27
1970-02-01,25.13
1971-02-01,24.12
1972-02-01,24.71
1973-02-01,25.66
1974-02-01,24.41
1975-02-01,24.33
1976-02-01,24.07
1977-02-01,25.28
1978-02-01,25.68
1979-02-01,25.34
1980-02-01,25.39
1981-02-01,25.12
1982-02-01,25.08
1983-02-01,26.24
1984-02-01,24.72
1985-02-01,25.02
1986-02-01,24.53
1987-02-01,25.59
